10.1103/PhysRevC.7.103 y2f3
10.1103/PhysRevB.49.2915 y1s3
10.1103/PhysRevB.49.2915 p4z2
10.1103/PhysRevB.49.2915 m1a3
10.1103/PhysRevC.60.018202 o6k2
10.1103/PhysRevC.60.018202 h6e2
10.1103/PhysRevC.60.018202 u3m3
10.1103/PhysRevLett.74.2941 d5o2
10.1103/PhysRevD.60.052003 y1s3
10.1103/PhysRevD.60.052003 s2s2
10.1103/PhysRevD.60.052003 t2w1
10.1103/PhysRevD.60.052003 x3a2
10.1103/PhysRevD.60.052003 c2a2
10.1103/PhysRevD.60.052003 q2d1
10.1103/PhysRevD.60.052003 n5h3
10.1103/PhysRevD.60.052003 r2x1
10.1103/PhysRevD.60.052003 g5u1
